ID;Name;Description;Coordinates
6591449;JULES FERRY;31-33 RUE DU FAUBOURG DU TEMPLE - 75110;48.868973626,2.3677846116
6591455;CENTRE GEORGES POMPIDOU;FACE 22 RUE DU RENARD - 75104;48.8597465272,2.35249649877
6591491;DEGAS;41 AVENUE DE VERSAILLES - 75116;48.8488476255,2.27537418768
6591505;RENE DESCARTES;68 AVENUE EDOUARD VAILLANT - 92012;48.835088002,2.24760348442
6591531;BELLEVILLE;4 RUE DE BELLEVILLE - 75120;48.8721253304,2.37739151463
6591561;PAUL DE KOCK;158 R DE PARIS - 93045;48.8807494209,2.4195856807
6591573;BOIS-PERRIER NORD;FACE 99 BOULEVARD ALSACE-LORRAINE - 93064;48.8842356799,2.48545233155
6591578;CHATEAU DE VILLEMOMBLE;GRANDE RUE - 93077;48.8838512223,2.51062083627
6591585;MONTGUICHET-ARENA;136 RUE JULES GUESDE - 93032;48.8789399047,2.5468359739
6591718;MONTGUICHET-ARENA;136 RUE JULES GUESDE - 93032;48.8789399047,2.5468359739
6591721;FLORIAN;37 AVENUE DU PRESIDENT POMPIDOU - 93032;48.8820823406,2.53820926075
6591724;JEAN JAURES - HENRI BARBUSSE;FACE 16 RUE PARMENTIER - 93032;48.8835215567,2.53204171066
6591748;BREMENT;189 RUE DE BREMENT - 93053;48.8871775032,2.46749883196
6591771;JOURDAIN;133 RUE DE BELLEVILLE - 75119;48.874817294,2.38842975854
6591807;GAGNY RER;FACE 180 GRANDE RUE - 93077;48.882696666,2.52523873898
6591837;JOURDAIN;133 RUE DE BELLEVILLE - 75119;48.874817294,2.38842975854
6591840;GONCOURT;65 RUE DU FAUBOURG DU TEMPLE - 75110;48.8698986266,2.37038726291
6640091;MAIRIE DES LILAS - METRO;96 RUE DE PARIS - 93045;48.8796912116,2.41620470877
6640153;ECOLE BOISSIERE.;R DE LA FONTAINE - 93053;48.8807087626,2.45694933175
6673048;LE GLOBE;BOULEVARD MAXIME GORKI - 93072;48.949051207,2.38585612276
6673083;SAINT-REMY-LES-CHEVREUSE RER;PISTE GARE ROUTIERE - 78575;48.7031025674,2.07068049568
6673086;GIF-SUR-YVETTE RER;ROUTE DE BELLEVILLE - 91272;48.697768379,2.13729717934
6869589;SUZANNE BUISSON;AVENUE HENRI VARAGNAT - 93010;48.9135017218,2.48226363192
6869663;BOBIGNY - PABLO PICASSO;PISTE GARE ROUTIERE - 93008;48.9075972663,2.44881770351
6869685;LOUISE MICHEL;BOULEVARD DE PARIS - 93057;48.914815576,2.4950437091
6869697;GAMBETTA;138 AVENUE VAUBAN - 93046;48.9179468628,2.52355303766
6869698;GAMBETTA;123 AVENUE VAUBAN - 93046;48.9173282076,2.5226235575
6869701;COLLEGES;FACE 82 AVENUE CESAR COLLAVERI - 93046;48.9223001822,2.53252847856
6869756;ETIENNE DOLET;CHEMIN DE GROSLAY - 93008;48.9107252129,2.47425249605
6869800;ROBERT SHUMAN (DESCENTE);VOIE PRIVEE - ACCES AU CENTRE BUS - 93057;48.9163680195,2.4967801899
6904253;SULLY - MORLAND;2 BIS QUAI DES CELESTINS - 75104;48.8514854286,2.3622178642
6961987;BROCHANT - CARDINET;157 RUE CARDINET - 75117;48.8911565292,2.31791487344
7013374;PORTE DE FRANCE;1 RUE NICOLE-REINE LEPAUTE - 75113;48.8266021651,2.38173944207
7013396;VERGNIAUD;225 RUE DE TOLBIAC - 75113;48.8257653341,2.34576218531
6682471;PANTIN RER - MAIRIE;AVENUE DU GENERAL LECLERC - 93055;48.8966133449,2.4026407586
7013400;LA TOMBE ISSOIRE;20 RUE D'ALESIA - 75114;48.8278955872,2.33182326629
6682482;HOPITAL LA ROSERAIE;62 RUE HENRI BARBUSSE - 93001;48.9061999162,2.38987860209
7013446;MICHEL-ANGE - AUTEUIL;51 RUE D'AUTEUIL - 75116;48.8478082535,2.26505313741
7069297;EDOUARD VAILLANT;21 BOULEVARD DU MARECHAL DE LATTRE DE TASSIGNY - 92073;48.8639874755,2.21281728742
7069304;PLAIDEURS - VAILLANT-COUTURIER;265 RUE PAUL VAILLANT-COUTURIER - 92050;48.8788857082,2.21019259202
6741229;STADE AUGUSTE DELAUNE;30 AVENUE DU COLONEL FABIEN - 93066;48.9455914628,2.3506526117
7131574;ALSACE-LORRAINE;RUE D'ALSACE-LORRAINE - 92012;48.8492014842,2.24002100959
6741246;MARECHAL FOCH;93 ROUTE DE SAINT-DENIS - 95197;48.9650022406,2.32001646486
6741257;SAINT-DENIS - UNIVERSITE;PISTE GARE ROUTIERE - 93066;48.9459397331,2.36385971039
7153118;HANGAR N0 6;RUE MARCEL ALBERT - 91479;48.7435945854,2.36491132421
6741322;MALNOUE - BOIS DES SOUCHES;RUE JEAN MONNET - 77169;48.8305924399,2.59042118104
7153128;BELLE ETOILE;AVENUE FRANCOIS MITTERRAND - 91027;48.7066775883,2.3716821179
6741326;MALNOUE - ANCIEN MONASTERE;26 RUE DE L'ANCIEN MONASTERE - 77169;48.8294151237,2.59870577776
7161642;CHATELET;FACE 1 BOULEVARD DE SEBASTOPOL - 75101;48.8579045923,2.34805569286
6741342;ALBERT BERTHELOT;44 RUE AUGUSTE VALLAUD - 77083;48.8592133936,2.58827259233
6741378;CLAUDE BERNARD;RUE ALBERT SCHWEITZER - 77083;48.8544894166,2.57789882341
7176268;NAVIER;RUE NAVIER - 75117;48.8958125541,2.32265651741
6741392;NOISY-CHAMPS RER - DESCARTES;BOULEVARD NEWTON - 77083;48.8426713888,2.58202427196
7176279;CAPITAINE GLARNER;91 BOULEVARD VICTOR HUGO - 93070;48.9075771213,2.32698865631
6741419;NOISIEL RER;ALLEE JEAN-PAUL SARTRE - 77337;48.843791853,2.61608520994
6741434;GARE DE PIERREFITTE - STAINS;AVENUE DU COLONEL ROL-TANGUY - 93072;48.9582504438,2.36841043935
7176382;ARISTIDE BRIAND;1 PLACE MAURICE NILES - 93029;48.927234149,2.43839912973
6741465;LES LIERRES - LOUISE MICHEL;FACE 45 RUE GAMBETTA - 95680;49.0069484895,2.39256281685
7260984;HENRI BARBUSSE;FACE 125 RUE HENRI BARBUSSE - 93066;48.9469174978,2.37095502119
6741626;PUITS LA MARLIERE;RUE SIGNAC - 95680;49.0084088888,2.40130683702
7266057;ARISTIDE BRIAND;AVENUE FRANCOIS MITTERRAND - 91027;48.7091943957,2.37157513175
7266069;ERNEST RENAN;37 BIS AVENUE GABRIEL PERI - 93070;48.9090064272,2.33296001136
6742301;LA JUSTICE;FACE 121 AVENUE JEAN ROSTAND - 95229;49.0371278665,2.34089028559
6742318;SQUARE CHARLES PERRAULT;11 RUE CHARLES PERRAULT - 95680;49.0045892602,2.41698273353
6742331;THEODORE BULLIER;FACE 4 AVENUE DIVISION LECLERC - 95585;48.9915528165,2.37463015782
7275134;MARCADET - POISSONNIERS;96 BOULEVARD BARBES - 75118;48.8913911078,2.34976632771
6742353;LES MARRONNIERS;9 BIS RUE JEAN JAURES - 95019;48.9953404673,2.41967249125
7275180;CARNOT - ARISTIDE BRIAND;116 AVENUE ARISTIDE BRIAND - 92007;48.7987475507,2.32261577969
7275199;LES COTTAGES;175-177 AVENUE DU GENERAL LECLERC - 92014;48.772240462,2.31266952334
7275242;CONDORCET;191 AVENUE GEORGES CLEMENCEAU - 78586;48.9418033334,2.20140246805
6783399;GASTON NOREUX;FACE 70 AVENUE JEAN JAURES - 93079;48.9637982822,2.3526636271
7275343;COLLEGE DE CHILLY-MAZARIN;32 AVENUE MAZARIN - 91161;48.7060420513,2.31365145332
7275370;PLACE DE FRANCE;RUE DE MONTPELLIER - 91377;48.7340341417,2.29067504043
6783435;EPINAY-SUR-SEINE - GARE;FACE 11 RUE FELIX MERLIN - 93031;48.9558495162,2.30086022532
7275410;DIVISION LECLERC - CAMILLE DESMOULINS;FACE 1 AVENUE DE LA DIVISION LECLERC - 94016;48.7901648858,2.33150074657
5231676;POINTE DE CHAMPS;FACE 30 RUE DE CHELLES - 77083;48.8546926794,2.5966676703
7275441;OBSERVATOIRE - PORT ROYAL;49 AVENUE DE L'OBSERVATOIRE - 75114;48.8392560366,2.33676452111
7275450;CHATELET;FACE 16 QUAI DE GESVRES - 75104;48.8570148887,2.34746983854
7275451;CHATELET;FACE 15 AVENUE VICTORIA - 75104;48.8575540203,2.34872301705
7275554;VAILLANT-COUTURIER;92 RUE DU PRESIDENT WILSON - 92044;48.8953986507,2.2875177246
7275593;LES VALLEES;FACE 197 AVENUE DE LA DIVISION LECLERC - 92019;48.7636517155,2.27429281798
7275634;HEBERT - GARE;17-19 RUE DE VANVES - 92023;48.8125361296,2.27255967868
7275641;MAIRIE DE VANVES - CENTRE ADMINISTRATIF;FACE 40 RUE ANTOINE FRATACCI - 92075;48.8210104284,2.28915424833
7275645;GENERAL DE GAULLE;40 BOULEVARD DU LYCEE - 92075;48.8244408012,2.28239968406
7275657;ABBE GROULT;188 RUE LECOURBE - 75115;48.8406869374,2.29610736008
7275697;VICTOR BASCH;148 AVENUE DE VERSAILLES - 94073;48.7583347636,2.39210786342
7275739;GENERAL DE GAULLE - STALINGRAD;202 BOULEVARD DE STALINGRAD - 94017;48.8250939318,2.49572373508
7311987;LIONS DE BEAUBOURG;ALL DES PLATANES - 77146;48.8269524687,2.64738496082
7312005;JACQUES PREVERT;AVENUE DE LINGENFELD - 77468;48.846946577,2.65210726953
7312039;MAISON ROUGE;RUE DE LA MAISON ROUGE - 77258;48.8329654329,2.62954572123
5298004;LEONARD DE VINCI;12-14 RUE ALEXANDRA DAVID NEEL - 91377;48.7214747989,2.26706247279
5325153;PARC DE BERCY;FACE 3 AVENUE DU GENERAL DE GAULLE - 94018;48.824897924,2.39475084609
7312087;LAPLACE RER;32-34 AVENUE LAPLACE - 94003;48.8081855743,2.33277784552
7312104;CARNOT;78 AVENUE DE VERDUN - 94041;48.8083957973,2.37365461939
7312122;AVENUE ET FORT DE MONTROUGE;FACE 25-27 AVENUE MARX DORMOY - 92049;48.8098474611,2.3223268856
7312143;LOUIS GIRARD;FACE 35 BOULEVARD DE STALINGRAD - 92046;48.8151028084,2.2828994837
5018221;BOULEVARD DES BATIGNOLLES;23-25 RUE CLAPEYRON - 75108;48.8821701004,2.32357335589
